time,hour,minute,second,day_sec,light,interval,treatment,fragment
10:21:32,10,21,32,37292,138,1,33,F3
10:21:33,10,21,33,37293,138,1,33,F3
10:21:34,10,21,34,37294,138,1,33,F3
10:21:35,10,21,35,37295,138,1,33,F3
10:21:36,10,21,36,37296,138,1,33,F3
10:21:37,10,21,37,37297,138,1,33,F3
10:21:38,10,21,38,37298,138,1,33,F3
10:21:39,10,21,39,37299,138,1,33,F3
10:21:40,10,21,40,37300,138,1,33,F3
10:21:41,10,21,41,37301,138,1,33,F3
10:21:42,10,21,42,37302,138,1,33,F3
10:21:43,10,21,43,37303,138,1,33,F3
10:21:44,10,21,44,37304,138,1,33,F3
10:21:45,10,21,45,37305,138,1,33,F3
10:21:46,10,21,46,37306,138,1,33,F3
10:21:47,10,21,47,37307,138,1,33,F3
10:21:48,10,21,48,37308,138,1,33,F3
10:21:49,10,21,49,37309,138,1,33,F3
10:21:50,10,21,50,37310,138,1,33,F3
10:21:51,10,21,51,37311,138,1,33,F3
10:21:52,10,21,52,37312,138,1,33,F3
10:21:53,10,21,53,37313,138,1,33,F3
10:21:54,10,21,54,37314,138,1,33,F3
10:21:55,10,21,55,37315,138,1,33,F3
10:21:56,10,21,56,37316,138,1,33,F3
10:21:57,10,21,57,37317,138,1,33,F3
10:21:58,10,21,58,37318,138,1,33,F3
10:21:59,10,21,59,37319,138,1,33,F3
10:22:00,10,22,0,37320,138,1,33,F3
10:22:01,10,22,1,37321,138,1,33,F3
10:22:02,10,22,2,37322,138,1,33,F3
10:22:03,10,22,3,37323,138,1,33,F3
10:22:04,10,22,4,37324,138,1,33,F3
10:22:05,10,22,5,37325,138,1,33,F3
10:22:06,10,22,6,37326,138,1,33,F3
10:22:07,10,22,7,37327,138,1,33,F3
10:22:08,10,22,8,37328,138,1,33,F3
10:22:09,10,22,9,37329,138,1,33,F3
10:22:10,10,22,10,37330,138,1,33,F3
10:22:11,10,22,11,37331,138,1,33,F3
10:22:12,10,22,12,37332,138,1,33,F3
10:22:13,10,22,13,37333,138,1,33,F3
10:22:14,10,22,14,37334,138,1,33,F3
10:22:15,10,22,15,37335,138,1,33,F3
10:22:16,10,22,16,37336,138,1,33,F3
10:22:17,10,22,17,37337,138,1,33,F3
10:22:18,10,22,18,37338,138,1,33,F3
10:22:19,10,22,19,37339,138,1,33,F3
10:22:20,10,22,20,37340,138,1,33,F3
10:22:21,10,22,21,37341,138,1,33,F3
10:22:22,10,22,22,37342,138,1,33,F3
10:22:23,10,22,23,37343,138,1,33,F3
10:22:24,10,22,24,37344,138,1,33,F3
10:22:26,10,22,25,37345,138,1,33,F3
10:22:26,10,22,26,37346,138,1,33,F3
10:22:27,10,22,27,37347,138,1,33,F3
10:22:28,10,22,28,37348,138,1,33,F3
10:22:30,10,22,30,37350,138,2,33,F3
10:22:31,10,22,31,37351,138,1,33,F3
10:22:31,10,22,32,37352,138,1,33,F3
10:22:33,10,22,33,37353,138,1,33,F3
10:22:34,10,22,34,37354,138,1,33,F3
10:22:35,10,22,35,37355,138,1,33,F3
10:22:36,10,22,36,37356,138,1,33,F3
10:22:37,10,22,37,37357,138,1,33,F3
10:22:38,10,22,38,37358,138,1,33,F3
10:22:39,10,22,39,37359,138,1,33,F3
10:22:40,10,22,40,37360,138,1,33,F3
10:22:41,10,22,41,37361,138,1,33,F3
10:22:42,10,22,42,37362,138,1,33,F3
10:22:43,10,22,43,37363,138,1,33,F3
10:22:44,10,22,44,37364,138,1,33,F3
10:22:45,10,22,45,37365,138,1,33,F3
10:22:46,10,22,46,37366,138,1,33,F3
10:22:47,10,22,47,37367,138,1,33,F3
10:22:48,10,22,48,37368,138,1,33,F3
10:22:49,10,22,49,37369,138,1,33,F3
10:22:50,10,22,50,37370,138,1,33,F3
10:22:51,10,22,51,37371,138,1,33,F3
10:22:52,10,22,52,37372,138,1,33,F3
10:22:53,10,22,53,37373,138,1,33,F3
10:22:54,10,22,54,37374,138,1,33,F3
10:22:55,10,22,55,37375,138,1,33,F3
10:22:56,10,22,56,37376,138,1,33,F3
10:22:57,10,22,57,37377,138,1,33,F3
10:22:58,10,22,58,37378,138,1,33,F3
10:22:59,10,22,59,37379,138,1,33,F3
10:23:00,10,23,0,37380,138,1,33,F3
10:23:01,10,23,1,37381,138,1,33,F3
10:23:02,10,23,2,37382,138,1,33,F3
10:23:03,10,23,3,37383,138,1,33,F3
10:23:04,10,23,4,37384,138,1,33,F3
10:23:05,10,23,5,37385,138,1,33,F3
10:23:06,10,23,6,37386,138,1,33,F3
10:23:07,10,23,7,37387,138,1,33,F3
10:23:08,10,23,8,37388,138,1,33,F3
10:23:09,10,23,9,37389,138,1,33,F3
10:23:10,10,23,10,37390,138,1,33,F3
10:23:11,10,23,11,37391,138,1,33,F3
10:23:12,10,23,12,37392,138,1,33,F3
10:23:13,10,23,13,37393,138,1,33,F3
10:23:14,10,23,14,37394,138,1,33,F3
10:23:15,10,23,15,37395,138,1,33,F3
10:23:16,10,23,16,37396,138,1,33,F3
10:23:17,10,23,17,37397,138,1,33,F3
10:23:18,10,23,18,37398,138,1,33,F3
10:23:19,10,23,19,37399,138,1,33,F3
10:23:20,10,23,20,37400,138,1,33,F3
10:23:21,10,23,21,37401,138,1,33,F3
10:23:22,10,23,22,37402,138,1,33,F3
10:23:23,10,23,23,37403,138,1,33,F3
10:23:24,10,23,24,37404,138,1,33,F3
10:23:25,10,23,25,37405,138,1,33,F3
